stimulusGrp(id),sweep(id),SN,Date(date),Teststand,Temp(degC),Vcc(V),Frequency(MHz),Pout(dBm),Pin(dBm),Gain(dB),I_Total(A),EVM(dB)
1,1,sqFoo-001,2026-01-25,sqBench-001,-40.0,3.3,2400,0,-7.9660201535420612,20.929399927357277,3.3868663025761898,-54.141357862823725
1,2,sqFoo-001,2026-05-11,sqBench-001,-40.0,3.3,2400,5,-2.7019911046129543,25.633730379900143,4.7331196653947245,-44.805023069885387
1,3,sqFoo-001,2026-01-01,sqBench-001,-40.0,3.3,2400,10,1.1576206848620529,25.889679626417255,8.6019967391440151,-37.896581334646385
2,1,sqFoo-001,2026-07-15,sqBench-001,-40.0,3.3,2450,0,-25,21.673015705287874,0,-43.352717135038645
2,2,sqFoo-001,2026-06-09,sqBench-001,-40.0,3.3,2450,5,-5.0319091394107538,24.911051989399748,5.0766227727946411,-40.25548470401084
2,3,sqFoo-001,2026-04-09,sqBench-001,-40.0,3.3,2450,10,1.2672518154538217,26.85003927195276,7.2173174067961119,-25.471132699804159
3,1,sqFoo-001,2026-03-20,sqBench-001,-40.0,3.3,2500,0,-15.416169194256032,22.47520990175531,0,-47.97427725032432
3,2,sqFoo-001,2026-11-10,sqBench-001,-40.0,3.3,2500,5,-0.77217700315610571,25.171906972224189,4.2047694977472405,-41.827503400515823
3,3,sqFoo-001,2026-04-25,sqBench-001,-40.0,3.3,2500,10,0.147216721422879,26.665175415202881,9.9907908412905204,-40.496356025614922
4,1,sqFoo-001,2026-06-02,sqBench-001,-40.0,4.2,2400,0,-25,22.379192998956899,4.7585443967887748,-49.600695845335977
4,2,sqFoo-001,2026-04-14,sqBench-001,-40.0,4.2,2400,5,-3.1288381970671182,24.23704213052703,4.9944271296508287,-39.006913811680114
4,3,sqFoo-001,2026-11-24,sqBench-001,-40.0,4.2,2400,10,3.1232471918228377,25.713910286648396,7.1661489322266387,-26.418702635981727
5,1,sqFoo-001,2026-12-05,sqBench-001,-40.0,4.2,2450,0,-13.790194499347042,20.837551387647554,2.6484268735395995,-45.336244583529982
5,2,sqFoo-001,2026-05-05,sqBench-001,-40.0,4.2,2450,5,-3.9696362578583617,25.428851410015245,5.382690703900245,-46.631186048144883
5,3,sqFoo-001,2026-02-22,sqBench-001,-40.0,4.2,2450,10,0.173489796738302,26.294987107274949,6.0784368996943723,-55
6,1,sqFoo-001,2026-05-24,sqBench-001,-40.0,4.2,2500,0,-11.302359578207426,18.071060509474716,1.9705438745022672,-52.90598063887272
6,2,sqFoo-001,2026-04-22,sqBench-001,-40.0,4.2,2500,5,-5.6365225904223237,24.340018314304558,5.3131570497015668,-42.314622925915636
6,3,sqFoo-001,2026-07-29,sqBench-001,-40.0,4.2,2500,10,14.196901612085064,24.757138904008521,7.1349951852272682,-38.175585049248895
7,1,sqFoo-001,2026-11-15,sqBench-001,-40.0,5.0,2400,0,-12.831422331415487,21.308963635238896,5.0836393816855168,-44.961252755313218
7,2,sqFoo-001,2026-01-03,sqBench-001,-40.0,5.0,2400,5,-3.3311805050750287,24.250264169847782,4.0880420226126386,-37.985581602810704
7,3,sqFoo-001,2026-09-21,sqBench-001,-40.0,5.0,2400,10,1.5756209692220224,25.885029430923733,7.615378415697216,0
8,1,sqFoo-001,2026-02-11,sqBench-001,-40.0,5.0,2450,0,-11.328501927350086,22.041749351795925,3.1118855206903984,-50.711815677050389
8,2,sqFoo-001,2026-10-03,sqBench-001,-40.0,5.0,2450,5,0.59915863254250112,24.468953817931553,4.8590378771823843,-42.053693994767833
8,3,sqFoo-001,2026-07-09,sqBench-001,-40.0,5.0,2450,10,15,26.0317205112168,7.1317848327739233,-36.141429224035612
9,1,sqFoo-001,2026-09-02,sqBench-001,-40.0,5.0,2500,0,-11.367705009665571,20.875573531515261,2.3946171701121273,-55
9,2,sqFoo-001,2026-03-06,sqBench-001,-40.0,5.0,2500,5,-9.487784901842959,24.141433811313284,4.3324675363340894,-43.531867719005724
9,3,sqFoo-001,2026-07-27,sqBench-001,-40.0,5.0,2500,10,6.2096977401055078,17.152346330126434,6.7820084532212777,-39.7960355179858
10,1,sqFoo-001,2026-11-04,sqBench-001,25.0,3.3,2400,0,-10.388981917866484,20.357143094495967,3.7873820603841386,-48.653333753637057
10,2,sqFoo-001,2026-08-04,sqBench-001,25.0,3.3,2400,5,-11.508760885909769,24.14599334242682,4.5953534504293794,-45.421776840841389
10,3,sqFoo-001,2026-12-17,sqBench-001,25.0,3.3,2400,10,0.20522826502003255,35,9.8498836516844506,-59.151708591921611
11,1,sqFoo-001,2026-07-16,sqBench-001,25.0,3.3,2450,0,-9.6813398009463505,21.708815395633138,0,-51.01099977953907
11,2,sqFoo-001,2026-05-21,sqBench-001,25.0,3.3,2450,5,-8.9053120994141679,26.672437865470116,4.7765488809838343,-44.052218571603433
11,3,sqFoo-001,2026-11-16,sqBench-001,25.0,3.3,2450,10,15,27.205668785051643,6.6183666602110254,-39.537334680790998
12,1,sqFoo-001,2026-12-04,sqBench-001,25.0,3.3,2500,0,-24.457038476108472,21.278607962398805,3.6174711575589451,-54.950123618705206
12,2,sqFoo-001,2026-06-29,sqBench-001,25.0,3.3,2500,5,-2.808602291957353,23.60327838448196,3.7066166064537565,-41.564629095016912
12,3,sqFoo-001,2026-04-30,sqBench-001,25.0,3.3,2500,10,-0.65814949299717185,35,6.4319338506294823,-39.301044869899243
13,1,sqFoo-001,2026-06-20,sqBench-001,25.0,4.2,2400,0,-25,21.457669880372958,2.8115812832272908,-47.684001979272864
13,2,sqFoo-001,2026-03-08,sqBench-001,25.0,4.2,2400,5,-8.8803795784187329,23.895825841500212,4.7406598483398943,-40.027246302159476
13,3,sqFoo-001,2026-01-07,sqBench-001,25.0,4.2,2400,10,-1.5829346477412152,34.652087241467513,5.9940996299175104,0
14,1,sqFoo-001,2026-12-08,sqBench-001,25.0,4.2,2450,0,-18.926875046851109,21.934616301352118,2.9326139425928952,-43.972796075096291
14,2,sqFoo-001,2026-01-27,sqBench-001,25.0,4.2,2450,5,-5.7996742849131664,24.184187267884685,5.0934228544937294,-43.464786716147835
14,3,sqFoo-001,2026-12-18,sqBench-001,25.0,4.2,2450,10,5.4775454358310469,27.916639857912287,10,-35.23655250253767
15,1,sqFoo-001,2026-06-01,sqBench-001,25.0,4.2,2500,0,-10.845957088155275,20.917999042812767,2.3665031543240609,-49.238742409658755
15,2,sqFoo-001,2026-06-23,sqBench-001,25.0,4.2,2500,5,-9.9874124181539408,24.180457234407072,4.9703362379979819,-44.493542614983369
15,3,sqFoo-001,2026-11-05,sqBench-001,25.0,4.2,2500,10,3.9013870069274361,25.91717292485945,7.6709732401301984,-39.042531269662078
16,1,sqFoo-001,2026-02-22,sqBench-001,25.0,5.0,2400,0,-9.7532037728222178,18,1.03482100693261,-48.750467971049105
16,2,sqFoo-001,2026-08-05,sqBench-001,25.0,5.0,2400,5,-1.3164653596957301,24.403805613380705,5.656091855154493,-39.804573691951632
16,3,sqFoo-001,2026-02-19,sqBench-001,25.0,5.0,2400,10,15,32.380806864702521,6.8576673946872209,-38.745176884541976
17,1,sqFoo-001,2026-11-10,sqBench-001,25.0,5.0,2450,0,-25,18,2.6593008607662734,-50.770920587335254
17,2,sqFoo-001,2026-05-01,sqBench-001,25.0,5.0,2450,5,-7.1514736544188793,23.888759055963838,5.2257292100440065,-38.258866971136818
17,3,sqFoo-001,2026-11-11,sqBench-001,25.0,5.0,2450,10,1.9713675732554421,28.759647882259372,6.0097842581095957,-38.620129823276102
18,1,sqFoo-001,2026-11-27,sqBench-001,25.0,5.0,2500,0,-15.065028184902378,18,2.7750006813305337,-47.926089058044461
18,2,sqFoo-001,2026-06-17,sqBench-001,25.0,5.0,2500,5,-8.8407683191553268,23.714090482567357,5.0786381351182754,-46.78254953772641
18,3,sqFoo-001,2026-11-06,sqBench-001,25.0,5.0,2500,10,5.652407421450711,13.924988556482504,7.0153826308592091,0
19,1,sqFoo-001,2026-11-11,sqBench-001,85.0,3.3,2400,0,-7.0978812137738672,20.572714805889589,0.86039516677266148,-55
19,2,sqFoo-001,2026-03-19,sqBench-001,85.0,3.3,2400,5,-5.426252654556837,25.133806913466529,5.4083176663383501,-41.760459844741177
19,3,sqFoo-001,2026-01-01,sqBench-001,85.0,3.3,2400,10,-5.4628834295117699,27.118922175076264,9.0323373433167653,-42.38653580301149
20,1,sqFoo-001,2026-06-12,sqBench-001,85.0,3.3,2450,0,-23.752001176735824,22.135892373245017,2.8267814500434927,-55
20,2,sqFoo-001,2026-07-11,sqBench-001,85.0,3.3,2450,5,-4.0820477081323574,24.483981935143607,6.2693393980928409,-37.646331512610402
20,3,sqFoo-001,2026-06-16,sqBench-001,85.0,3.3,2450,10,5.953762577249428,24.441656361282391,7.3505440102335884,-37.674577035001754
21,1,sqFoo-001,2026-05-25,sqBench-001,85.0,3.3,2500,0,-10.977215463461942,22.431698413472581,0,-55
21,2,sqFoo-001,2026-06-05,sqBench-001,85.0,3.3,2500,5,-2.1460385586593311,26.030970156697521,5.0978815166431337,-39.107504280991904
21,3,sqFoo-001,2026-06-19,sqBench-001,85.0,3.3,2500,10,1.8292802537072497,24.269677553507631,7.0820437291141314,0
22,1,sqFoo-001,2026-04-02,sqBench-001,85.0,4.2,2400,0,-23.887447160030668,21.364930208229687,3.5495583531312223,-45.538175182919659
22,2,sqFoo-001,2026-03-30,sqBench-001,85.0,4.2,2400,5,-3.6055390296536594,24.046988737969826,4.9565997047934731,-43.430855983142848
22,3,sqFoo-001,2026-12-26,sqBench-001,85.0,4.2,2400,10,-1.6730586363483582,33.859385608150752,7.1044033423860764,-36.534752823213623
23,1,sqFoo-001,2026-07-15,sqBench-001,85.0,4.2,2450,0,-13.143036546961259,21.165147566813477,3.1454820786409385,-54.539839527294149
23,2,sqFoo-001,2026-02-17,sqBench-001,85.0,4.2,2450,5,-5.1321958680452653,22.927245292165338,5.276115410964537,-42.172634779157825
23,3,sqFoo-001,2026-08-08,sqBench-001,85.0,4.2,2450,10,3.3704862679432068,24.469476286769556,6.7429973248879147,-38.160249625674012
24,1,sqFoo-001,2026-04-08,sqBench-001,85.0,4.2,2500,0,-12.848075164139257,18,3.3350279488598193,-49.779729494892166
24,2,sqFoo-001,2026-03-25,sqBench-001,85.0,4.2,2500,5,-4.5587053140910712,23.843060171263375,5.0884450750298607,-44.038587986827807
24,3,sqFoo-001,2026-03-17,sqBench-001,85.0,4.2,2500,10,11.733746598312223,26.317019729702665,7.6680380642356161,-55
25,1,sqFoo-001,2026-07-26,sqBench-001,85.0,5.0,2400,0,-21.159734853819675,18,2.9569890769747529,-55
25,2,sqFoo-001,2026-01-14,sqBench-001,85.0,5.0,2400,5,-5.2372120792346166,23.868479905674779,4.866806894121205,-40.357618893920069
25,3,sqFoo-001,2026-06-11,sqBench-001,85.0,5.0,2400,10,0.070236771045681934,9.8191843061941455,10,-41.587346328212206
26,1,sqFoo-001,2026-03-18,sqBench-001,85.0,5.0,2450,0,-25,22.070175459317497,3.6805611233708642,-48.308534377501708
26,2,sqFoo-001,2026-12-14,sqBench-001,85.0,5.0,2450,5,-7.0047944240094608,24.988569238968708,6.165409940066656,-44.342002658851122
26,3,sqFoo-001,2026-02-16,sqBench-001,85.0,5.0,2450,10,0.43722637402112952,18,10,-5.0171401580447359
27,1,sqFoo-001,2026-04-28,sqBench-001,85.0,5.0,2500,0,-9.1770505659139658,18,2.3447824544259457,-47.288281645366737
27,2,sqFoo-001,2026-08-05,sqBench-001,85.0,5.0,2500,5,-3.4225004504769885,24.492177392520617,4.0473701263662285,-43.096191742975364
27,3,sqFoo-001,2026-10-06,sqBench-001,85.0,5.0,2500,10,5.113000588435419,18,7.6941193463981712,-36.541933481767785
